student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
281600,Q1,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
281600,Q2,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
281600,Q3,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
281600,Q4,B,A,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q5,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
281600,Q6,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
281600,Q7,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
281600,Q8,C,B,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q9,B,C,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q10,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
281600,Q11,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
281600,Q12,D,C,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q13,A,D,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q14,A,C,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q15,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
281600,Q16,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
281600,Q17,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
281600,Q18,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
281600,Q19,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
281600,Q20,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
281600,Q21,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
281600,Q22,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
281600,Q23,B,D,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q24,D,B,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q25,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
281600,Q26,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
281600,Q27,B,D,False,Guess,"The student selected an incorrect option. With no solution to analyze, assume guess/careless.",Low,UNKNOWN
281600,Q28,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
281600,Q29,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
281600,Q30,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
283800,Q1,C,D,False,Guess,Student selected incorrect option 'C' instead of correct option 'D'.,Low,UNKNOWN
283800,Q2,B,B,True,None,Student selected correct option 'B'.,High,UNKNOWN
283800,Q3,B,A,False,Guess,Student selected incorrect option 'B' instead of correct option 'A'.,Low,UNKNOWN
283800,Q4,A,A,True,None,Student selected correct option 'A'.,High,UNKNOWN
283800,Q5,A,A,True,None,Student selected correct option 'A'.,High,UNKNOWN
283800,Q6,D,D,True,None,Student selected correct option 'D'.,High,UNKNOWN
283800,Q7,A,D,False,Guess,Student selected incorrect option 'A' instead of correct option 'D'.,Low,UNKNOWN
