student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
260300,Q1,D,D,True,None,The student correctly identified that 9:27 and 81:729 share a similar relationship (x: x cubed).,High,nan
260300,Q2,C,C,True,None,The student correctly decoded 'enmity' as '8b' by comparing the given coded sentences.,High,nan
260300,Q3,B,D,False,Conceptual,"The student incorrectly identified the married couple; based on the family relationships given, none of the provided options are correct.",Low,nan
260300,Q4,C,D,False,Conceptual,The student failed to identify the pattern in the letter series to determine the missing letter.,Low,nan
260300,Q5,A,B,False,Calculation,The student incorrectly set up or solved the system of equations to find the fares for cities B and C.,Low,nan
260300,Q6,A,A,True,None,The student correctly converted the repeating decimal 0.135135... to the fraction 5/37.,High,nan
260300,Q7,B,C,False,Conceptual,The student incorrectly stated that the sum of two irrational numbers is always irrational; it can be real.,Low,nan
260300,Q8,D,D,True,None,The student correctly expressed the decimal 0.45235 as the fraction 4519/9990.,High,nan
260300,Q9,D,A,False,Conceptual,The student did not correctly determine the least positive fraction to add to the given expression to make it an integer.,Low,nan
260300,Q10,C,B,False,Calculation,The student incorrectly calculated the original fraction after the numerator and denominator were increased by given percentages.,Low,nan
260300,Q11,A,A,True,None,The student correctly evaluated the expression involving square roots.,High,nan
260300,Q12,C,C,True,None,The student correctly solved for x in the given equation.,High,nan
260300,Q13,C,B,False,Conceptual,The student failed to solve the quadratic equations and determine the relationship between x and y.,Low,nan
260300,Q14,C,A,False,Conceptual,The student incorrectly calculated the value of the expression 3x^3 - 1/x^3 given the initial condition.,Low,nan
260300,Q15,B,A,False,Calculation,The student incorrectly calculated the value of 3pqr based on the given equations.,Low,nan
260300,Q16,C,A,False,Conceptual,The student calculated the pressure incorrectly by likely misusing the formula or converting units improperly.,Low,nan
260300,Q17,A,C,False,Conceptual,The student failed to compare the different durations of time expressed in various units.,Low,nan
260300,Q18,D,D,True,None,"The student correctly identified that the net force acting on the probe is zero, given its constant velocity and absence of major gravitational influence.",High,nan
260300,Q19,A,A,True,None,The student correctly related the forces and accelerations of the two objects with the same mass using Newton's second law.,High,nan
260300,Q20,C,D,False,Conceptual,The student incorrectly identified pressure as a base quantity and a scalar.,Low,nan
260300,Q21,C,D,False,Conceptual,"The student incorrectly related the relationship between area, force, and pressure when hammering a nail.",Low,nan
260300,Q22,B,B,True,None,The student correctly identified the formula that relates thrust force to the rocket's change in motion.,High,nan
260300,Q23,B,C,False,Conceptual,The student incorrectly stated that wavelength remains unchanged when the wave's speed increases and frequency remains constant.,Low,nan
260300,Q24,B,D,False,Conceptual,The student incorrectly associated compressions and rarefactions with light waves instead of longitudinal waves.,Low,nan
260300,Q25,C,C,True,None,"The student correctly calculated the time it takes for the sound to reach the observer, given the distance and speed of sound.",High,nan
260300,Q26,D,C,False,Conceptual,The student selected an incorrect postulate; atoms combining in fixed ratios does not give rise to conservation of mass.,Low,nan
260300,Q27,D,D,True,None,The student correctly identified the point of Dalton's atomic theory that is true according to modern atomic theory.,High,nan
260300,Q28,C,B,False,Conceptual,The student incorrectly stated that matter consists of indivisible ions according to Dalton's Atomic Theory.,Low,nan
260300,Q29,C,A,False,Conceptual,The student incorrectly stated volume and properties; the correct answer is properties and mass.,Low,nan
260300,Q30,C,C,True,None,The student correctly identified cathode rays as a stream of electrons.,High,nan
260300,Q31,C,C,True,None,The student correctly identified that silk fibres are made up of protein.,High,nan
260300,Q32,C,C,True,None,The student correctly identified the properties of nylon that make it useful.,High,nan
260300,Q33,A,D,False,Conceptual,The student incorrectly identified a true statement as false.,Low,nan
260300,Q34,B,B,True,None,The student correctly identified PET as a familiar form of polyester.,High,nan
260300,Q35,C,D,False,Conceptual,The student incorrectly identified the chemical responsible for the characteristic smell of fruits.,Low,nan
260300,Q36,C,C,True,None,The student correctly identified the labelled parts of the cell.,High,nan
260300,Q37,B,A,False,Conceptual,The student incorrectly selected Cell wall as the answer; E.coli and Spirogyra both have a cell membrane.,Low,nan
260300,Q38,C,A,False,Conceptual,The student incorrectly selected stroma; grana are the stacks of organized flattened membranous sacs in chloroplasts.,Low,nan
260300,Q39,B,D,False,Conceptual,The student incorrectly stated that phospholipids are not present; Proline is not present in the cell membrane.,Low,nan
260300,Q40,A,A,True,None,The student correctly identified the nerve cell as the longest cell in the human body.,High,nan
260300,Q41,A,A,True,None,The student correctly identified Saccharomyces cerevisiae as another name for Yeast.,High,nan
260300,Q42,C,C,True,None,The student correctly identified Louis Pasteur as the discoverer of fermentation.,High,nan
260300,Q43,A,A,True,None,The student correctly identified that lactose is converted into lactic acid by anaerobic respiration.,High,nan
260300,Q44,D,D,True,None,The student correctly identified all the habitats for micro-organisms.,High,nan
260300,Q45,B,B,True,None,"The student correctly identified that carbon dioxide makes breads, cakes and pastry soft and fluffy.",High,nan
269800,Q1,D,D,True,None,The student correctly identified the relationship between 9 and 27 as being similar to 81 and 729.,High,nan
269800,Q2,B,C,False,Conceptual,The student incorrectly identified the code for 'enmity'; the correct answer requires decoding based on common words across the given phrases.,Low,nan
269800,Q3,B,D,False,Conceptual,The student failed to deduce the correct couple from the family relationships; the correct answer is 'none of these' because the given options don't represent a married couple.,Low,nan
269800,Q4,B,D,False,Conceptual,The student did not correctly identify the pattern in the letter series to find the missing letter.,Low,nan
269800,Q5,A,B,False,Calculation,The student failed to correctly set up and solve the system of equations to find the fares for cities B and C.,Low,nan
269800,Q6,B,A,False,Calculation,The student incorrectly converted the repeating decimal 0.135135... into a fraction.,Low,nan
269800,Q7,D,C,False,Conceptual,The student incorrectly stated that the sum of two irrational numbers is always an integer; it is always a real number.,Low,nan
269800,Q8,B,D,False,Calculation,The student incorrectly expressed the decimal 0.45235 as a fraction.,Low,nan
269800,Q9,A,A,True,None,The student correctly identified the least positive fraction that must be added to the given expression to result in an integer.,High,nan
269800,Q10,A,B,False,Calculation,The student failed to correctly calculate the original fraction after the numerator and denominator were increased.,Low,nan
269800,Q11,A,A,True,None,The student correctly evaluated the given expression.,High,nan
269800,Q12,B,C,False,Calculation,The student incorrectly solved for x in the equation 4x = 2/3 * 729.,Low,nan
269800,Q13,D,B,False,Conceptual,The student failed to correctly establish the relationship between x and y after solving the given equations.,Low,nan
269800,Q14,A,A,True,None,The student correctly found the value of the expression given the condition on x.,High,nan
269800,Q15,B,A,False,Calculation,"The student incorrectly calculated the value of 3pqr given the equations for p + q + r, p^3 + q^3 + r^3, and p^2 + q^2 + r^2.",Low,nan
269800,Q16,D,A,False,Calculation,"The student incorrectly calculated the pressure exerted by the cube on the table, possibly due to unit conversion errors or incorrect formula application.",Low,nan
269800,Q17,B,C,False,Conceptual,The student failed to correctly compare the different time durations expressed in various units.,Low,nan
269800,Q18,A,D,False,Conceptual,"The student incorrectly stated that there is a non-zero net force acting on the probe, when constant velocity implies zero net force.",Low,nan
269800,Q19,D,A,False,Conceptual,The student failed to relate the forces and accelerations of the two objects with the same mass using Newton's second law.,Low,nan
269800,Q20,D,D,True,None,The student correctly identified that pressure is a derived quantity and a scalar.,High,nan
269800,Q21,A,D,False,Conceptual,"The student incorrectly described the relationship between area, force, and pressure; the sharpness of the nail reduces the area to increase pressure for a given force.",Low,nan
269800,Q22,B,B,True,None,The student correctly identified the formula that explains the relationship between thrust force and the rocket’s change in motion.,High,nan
269800,Q23,B,C,False,Conceptual,The student did not apply the wave equation correctly; wavelength increases when wave speed increases at constant frequency.,Low,nan
269800,Q24,B,D,False,Conceptual,The student incorrectly associated compressions and rarefactions with electromagnetic waves instead of longitudinal waves.,Low,nan
269800,Q25,C,C,True,None,The student correctly calculated the time it takes for the sound to reach the observer.,High,nan
269800,Q26,C,C,True,None,The student correctly stated Dalton's postulate related to the law of conservation of mass.,High,nan
269800,Q27,A,D,False,Conceptual,The student incorrectly identified Dalton's atomic theory point that holds true according to the modern atomic theory.,Low,nan
269800,Q28,B,B,True,None,"The student correctly stated that, according to Dalton's atomic theory, matter consists of indivisible atoms.",High,nan
269800,Q29,B,A,False,Conceptual,"The student incorrectly stated that all atoms of a given element have identical weight and volume, instead of properties and mass.",Low,nan
269800,Q30,D,C,False,Conceptual,The student incorrectly identified cathode rays as radiations instead of a stream of electrons.,Low,nan
269800,Q31,D,C,False,Conceptual,The student incorrectly identified the composition of silk fibers; they are made of protein.,Low,nan
269800,Q32,C,C,True,None,The student correctly identified the properties that make nylon useful.,High,nan
269800,Q33,D,D,True,None,The student correctly identified the statement that is not true regarding polymers.,High,nan
269800,Q34,D,B,False,Conceptual,The student incorrectly identified PET as rayon instead of polyester.,Low,nan
269800,Q35,C,D,False,Conceptual,The student incorrectly associated cellulose with the characteristic smell of fruits; esters are responsible for the smell.,Low,nan
269800,Q36,C,C,True,None,The student correctly identified the labelled parts of the cell.,High,nan
269800,Q37,D,A,False,Conceptual,The student failed to correctly identify the structure that is not different between E.coli and Spirogyra.,Low,nan
269800,Q38,C,A,False,Conceptual,The student incorrectly stated that the structures created by stacking of organized flattened membranous sacs in the chloroplasts are stroma instead of grana.,Low,nan
269800,Q39,B,D,False,Conceptual,The student incorrectly stated that Phospholipids is not present in the cell membrane.,Low,nan
269800,Q40,A,A,True,None,The student correctly identified the nerve cell as the longest cell in the human body.,High,nan
269800,Q41,D,A,False,Conceptual,The student incorrectly identified Saccharomyces cerevisiae as Acidophilus instead of Yeast.,Low,nan
269800,Q42,C,C,True,None,The student correctly stated that the process of fermentation was discovered by Louis Pasteur.,High,nan
269800,Q43,A,A,True,None,The student correctly identified the type of respiration that converts lactose to lactic acid.,High,nan
269800,Q44,D,D,True,None,The student correctly identified the habitat for micro-organisms.,High,nan
269800,Q45,B,B,True,None,"The student correctly identified the gas that makes bread, cakes and pastry soft and fluffy.",High,nan
270700,Q1,D,D,True,None,"The student correctly identified the relationship between 9 and 27 as x : x*3 and applied it to option D, where 81 : 729 follows the same pattern.",High,nan
270700,Q2,C,C,True,None,The student correctly deciphered the code and identified '8b' as the code for 'enmity'.,High,nan
270700,Q3,B,D,False,Conceptual,The student incorrectly identified the couple in the family relationship puzzle; the correct answer was none of the options provided.,Low,nan
270700,Q4,,D,False,None,The student did not attempt this question.,Low,nan
270700,Q5,B,B,True,None,The student correctly determined the fares for cities B and C from A by setting up and solving a system of two equations.,High,nan
270700,Q6,A,A,True,None,The student correctly converted the repeating decimal 0.135135... into the fraction 5/37.,High,nan
270700,Q7,B,C,False,Conceptual,The student incorrectly stated that the sum of two irrational numbers is always irrational; it can be real.,Low,nan
270700,Q8,D,D,True,None,"The student correctly expressed the decimal 0.45235 as a fraction, 4519/9990.",High,nan
270700,Q9,A,A,True,None,The student correctly identified the least positive fraction that must be added to the given expression to make the result an integer.,High,nan
270700,Q10,C,B,False,Calculation,The student incorrectly calculated the original fraction after the numerator was increased by 150% and the denominator by 200%.,Low,nan
270700,Q11,A,A,True,None,The student correctly simplified the expression to obtain 3.28.,High,nan
270700,Q12,C,C,True,None,The student correctly solved for x in the equation to get x = 2.,High,nan
270700,Q13,A,B,False,Conceptual,The student incorrectly determined the relationship between x and y after solving the two given equations.,Low,nan
270700,Q14,D,A,False,Conceptual,The student incorrectly solved for the value of the expression.,Low,nan
270700,Q15,A,A,True,None,The student correctly determined the value of 3pqr.,High,nan
270700,Q16,C,A,False,Calculation,The student incorrectly calculated the pressure exerted by the block on the table.,Low,nan
270700,Q17,A,C,False,Conceptual,The student incorrectly identified the longest duration of time.,Low,nan
270700,Q18,B,D,False,Conceptual,"The student incorrectly determined the net force acting on the space probe, choosing 'greater than zero' when it should be zero due to constant velocity.",Low,nan
270700,Q19,A,A,True,None,The student correctly found the relationship between the magnitudes of the forces Fx and Fy.,High,nan
270700,Q20,C,D,False,Conceptual,"The student incorrectly identified pressure as a base quantity and a scalar, rather than a derived quantity and a scalar.",Low,nan
270700,Q21,D,D,True,None,The student correctly related the area of the nail tip to the pressure exerted when hammered.,High,nan
270700,Q22,B,B,True,None,The student correctly identified the formula relating thrust force to change in motion.,High,nan
270700,Q23,B,C,False,Conceptual,"The student incorrectly predicted what happens to wavelength when wave speed increases but frequency remains constant, not knowing the direct proportionality.",Low,nan
