student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
276200,Q1,D,C,False,Calculation,"The student selected the wrong answer, possibly from miscalculating the area under the force vs. time graph, which represents the net momentum gained.",Low,Physics
276200,Q2,D,B,False,Conceptual,The student selected the wrong option; the total change in momentum is calculated as force multiplied by time (mgt).,Low,Physics
276200,Q3,B,A,False,Conceptual,"The student's answer is incorrect because if tension equals weight, the net force is zero, implying uniform speed (zero acceleration).",Low,Physics
276200,Q4,D,C,False,Conceptual,"The selected answer is incorrect, as the acceleration of the 5 kg mass is derived from the net force acting on the system, considering both masses.",Low,Physics
276200,Q5,B,C,False,Calculation,The answer selected is incorrect because the average force is equal to the change in momentum divided by the time interval.,Low,Physics
276200,Q6,C,D,False,Calculation,The student's answer is incorrect; kinetic energy gained is the difference between work done by the applied force and work done by friction.,Low,Work and Energy
276200,Q7,A,D,False,Calculation,The student selected the incorrect option; the work required is the difference in potential energy at the two extensions.,Low,Elastic Potential Energy
276200,Q8,B,D,False,Conceptual,The answer is incorrect; the power is calculated as the number of bullets fired per second multiplied by the kinetic energy of each bullet.,Low,Power and Kinetic Energy
276200,Q9,A,B,False,Calculation,"The student selected the wrong option; work is the dot product of force and displacement vectors, and the z-component must be included.",Low,Work Done by a Force
276200,Q10,D,D,True,None,The student correctly calculated the stopping distance by recognizing its proportionality to the square of the velocity.,Medium,"Work, Energy, and Friction"
276200,Q11,B,B,True,None,The student correctly identified the relative speed of the image as twice the man's speed.,Medium,Relative Motion and Image Velocity
276200,Q12,B,C,False,Conceptual,"The student's answer is incorrect because the object is at the center of curvature when the object and image sizes are the same, making the focal length half the radius of curvature.",Low,Mirrors and Image Formation
276200,Q13,C,D,False,Calculation,"The student's answer is wrong, as the focal length must be derived using magnification formulas and object-image distance relationships for concave mirrors.",Low,Concave Mirrors and Magnification
276200,Q14,B,B,True,None,The student correctly stated that the reflected ray deviates by 120 degrees when the angle between incident and reflected rays is 60 degrees.,Medium,UNKNOWN
276200,Q15,A,B,False,Conceptual,"The student answer is incorrect, as the minimum mirror height needed is half the person's height.",Low,Optics
276200,Q16,A,A,True,None,"The student correctly identified the element's group, period, and metallic nature based on its electronic configuration.",Medium,Periodic Properties
276200,Q17,B,A,False,Conceptual,"The student's answer is incorrect; Boron, Silicon and Germanium are the only set containing only metalloids.",Low,Metalloids
276200,Q18,A,D,False,Conceptual,The student selected the incorrect answer; Neon has the highest ionization energy in the second period because noble gases have stable configurations.,Low,Ionization Energy
276200,Q19,B,B,True,None,The student correctly related the decrease in atomic radius and increase in ionization energy to the increasing effective nuclear charge.,Medium,Ionization Energy and Nuclear Charge
276200,Q20,C,C,True,None,The student correctly identifies calcium as a metal that forms a basic oxide.,Medium,Metal and Non-metal Oxides
276200,Q21,D,D,True,None,The student correctly identified that metallic character increases down the group for alkali metals.,Medium,Alkali Metals
276200,Q22,A,C,False,Conceptual,"The student incorrectly stated valency increases down the group, while valency remains the same down the group.",Low,Valency
276200,Q23,B,B,True,None,The student correctly balanced the equation for the reaction of aluminum with chlorine.,Medium,Chemical Reactions
276200,Q24,C,C,True,None,The student correctly identified the double displacement reaction producing a gas (CO2).,Medium,Chemical Reactions
276200,Q25,C,B,False,Conceptual,The student incorrectly answered this question; sodium carbonate reacts with HCl to produce carbon dioxide gas.,Low,Chemical Reactions
276200,Q26,C,A,False,Conceptual,The student's selection is incorrect because the reaction requires heat to proceed (endothermic) and involves breaking down a compound (decomposition).,Low,Thermal Decomposition
276200,Q27,A,B,False,Conceptual,"The answer chosen is wrong because HCl accepts electrons and is reduced, making it the oxidizing agent.",Low,Oxidation-Reduction Reactions
276200,Q28,C,A,False,Conceptual,"The student incorrectly selected gas evolution, while the correct answer involves a color change and deposition of copper.",Low,Displacement Reaction
276200,Q29,C,B,False,Conceptual,"The student selected the wrong answer, as the correct balanced equation accounts for the diprotic nature of sulfuric acid.",Low,Neutralization Reaction
276200,Q30,A,B,False,Conceptual,The selected answer is incorrect. The balanced equation requires coefficients that ensure the conservation of oxygen atoms.,Low,Chemical Equilibrium
276200,Q31,B,B,True,None,The student correctly identified the junction between two neurons as a synapse.,Medium,Synapse Function
276200,Q32,A,B,False,Conceptual,The student incorrectly identified the living cell; Sieve tubes are the only living cells in the choices provided.,Low,Sieve Tubes Function
276200,Q33,B,D,False,Conceptual,"The student incorrectly identified urethra, while nephrons are the filtration units of kidneys.",Low,Nephron Function
276200,Q34,C,A,False,Conceptual,The student incorrectly answered this question. Blood leaving tissues is richer in carbon dioxide due to cellular respiration.,Low,Cellular Respiration and Gas Exchange
276200,Q35,A,B,False,Conceptual,"The student incorrectly answered this question, mistaking the definition of heterodont.",Low,Heterodont Definition
276200,Q36,A,D,False,Conceptual,"The student provided the incorrect answer, possibly due to an incorrect calculation of ATP molecules produced in anaerobic respiration.",Low,Anaerobic Respiration
276200,Q37,D,D,True,None,The student correctly stated that HCl performs the mentioned functions in the stomach,Medium,Hydrochloric Acid Functions
276200,Q38,C,C,True,None,The student correctly identified spore formation as the asexual reproduction method of Rhizopus.,Medium,Spore Formation
276200,Q39,A,C,False,Conceptual,"The student selected the wrong answer, as tuber of potato is a modified stem.",Low,Potato Tuber
