student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
2625,Q1,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
2625,Q2,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
2625,Q3,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q4,B,D,False,Guess,"The student selected option B, but the correct option is D. Since no solution is given, we assume guess.",Low,UNKNOWN
2625,Q5,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
2625,Q6,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
2625,Q7,B,D,False,Guess,"The student selected option B, but the correct option is D. Since no solution is given, we assume guess.",Low,UNKNOWN
2625,Q8,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
2625,Q9,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q10,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
2625,Q11,B,C,False,Guess,"The student selected option B, but the correct option is C. Since no solution is given, we assume guess.",Low,UNKNOWN
2625,Q12,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q13,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
2625,Q14,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
2625,Q15,D,C,False,Guess,"The student selected option D, but the correct option is C. Since no solution is given, we assume guess.",Low,UNKNOWN
2625,Q16,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q17,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
2625,Q18,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
2625,Q19,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q20,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
2625,Q21,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q22,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
2625,Q23,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q24,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
2625,Q25,D,C,False,Guess,"The student selected option D, but the correct option is C. Since no solution is given, we assume guess.",Low,UNKNOWN
2625,Q26,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
2625,Q27,C,A,False,Guess,"The student selected option C, but the correct option is A. Since no solution is given, we assume guess.",Low,UNKNOWN
2625,Q28,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
