student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
32245,Q1,A,A,True,None,The student correctly identified the missing number in the series.,High,nan
32245,Q2,A,A,True,None,The student correctly counted the occurrences of the specified pattern.,High,nan
32245,Q3,D,D,True,None,The student correctly identified the next number in the sequence.,High,nan
32245,Q4,C,C,True,None,The student correctly determined the number of female members in the family.,High,nan
32245,Q5,A,A,True,None,The student correctly identified the next number in the number sequence.,High,nan
32245,Q6,B,B,True,None,The student correctly calculated the value based on the given conditions.,High,nan
32245,Q7,B,B,True,None,The student correctly expressed the repeating decimal as a fraction.,High,nan
32245,Q8,D,D,True,None,The student correctly evaluated the given expression.,High,nan
32245,Q9,C,C,True,None,The student correctly identified the missing value.,High,nan
32245,Q10,C,A,False,Calculation,"The student incorrectly calculated the value of 134 - 108 - 215, arriving at -63 instead of -223.",Low,nan
32245,Q11,B,B,True,None,The student correctly identified the greatest fraction.,High,nan
32245,Q12,B,B,True,None,The student correctly identified the rational number.,High,nan
32245,Q13,A,A,True,None,The student correctly identified the integer value of t that satisfies the equation.,High,nan
32245,Q14,B,B,True,None,The student correctly simplified the expression.,High,nan
32245,Q15,D,D,True,None,The student correctly identified the greatest negative number.,High,nan
32245,Q16,A,A,True,None,The student correctly identified the prefixes in ascending order.,High,nan
32245,Q17,D,D,True,None,The student correctly identified the unit that is not a fundamental SI base unit.,High,nan
32245,Q18,C,B,False,Conceptual,"The student incorrectly stated that the unit of Power will become 9 times the original unit, instead of remaining the same when the units of mass, length, and time are tripled.",Low,nan
32245,Q19,C,A,False,Calculation,"The student incorrectly divided the volume of the three pieces by 2 instead of 3, calculating 16.7 cm3 instead of 13.3 cm3.",Low,nan
32245,Q20,C,C,True,None,The student correctly calculated the height of the tower using the time it takes for the stone to reach the ground.,High,nan
32245,Q21,B,B,True,None,The student correctly calculated the momentum transferred to the floor.,High,nan
32245,Q22,B,B,True,None,The student correctly identified the object moving with maximum speed from the time-distance graph.,High,nan
32245,Q23,B,B,True,None,The student correctly calculated the average speed of the car from the velocity-time graph.,High,nan
32245,Q24,A,D,False,Conceptual,"The student incorrectly applied the formula for mean velocity, choosing the arithmetic mean instead of the correct formula for average velocity with varying times.",Low,nan
32245,Q25,D,C,False,Conceptual,The student incorrectly determined the ratio of distances traveled during consecutive 2-second intervals for a particle moving with constant acceleration.,Low,nan
32245,Q26,C,C,True,None,"The student correctly deduced the compounds formed when A and P, and A and Q react.",High,nan
32245,Q27,A,A,True,None,The student correctly identified the true statement regarding isotopes.,High,nan
32245,Q28,A,A,True,None,The student correctly identified the strong reducing agent.,High,nan
32245,Q29,B,D,False,Conceptual,The student incorrectly identified that oxidation number and valency are having fixed value as the difference between valency and oxidation number.,Low,nan
32245,Q30,A,A,True,None,The student correctly calculated the relative atomic mass of carbon-12.,High,nan
32245,Q31,B,B,True,None,The student correctly determined the electronic configuration of the ion.,High,nan
32245,Q32,D,D,True,None,The student correctly identified all species that can have the given electronic configuration.,High,nan
32245,Q33,B,B,True,None,The student correctly identified the number of electrons in the outermost orbit.,High,nan
32245,Q34,A,A,True,None,The student correctly identified the composition of the nucleus.,High,nan
32245,Q35,D,D,True,None,The student correctly calculated the mass number.,High,nan
32245,Q36,B,D,False,Conceptual,The student incorrectly associated plasmolysis with endosmosis instead of exosmosis.,Low,nan
